
Repository,Branch,Last Pipeline Run,CodeShuttle Version
codeshuttle,dev,10.06.2025T14:52:23.266Z,V.1.28
codeshuttle,1.27.0,10.06.2025T15:12:45.123Z,V.1.29


